Date,AdjustedVolume,MarketCap,AdjustedOpenPrice,AdjustedLowPrice,AdjustedHighPrice,AdjustedClosePrice,Volume,ClosePrice,OpenPrice,LowPrice,HighPrice
2016-03-18,44205171.0,562658842816.0,100.979103552141,99.8870782645258,101.1310375052,100.58027692536,44205171.0,105.92,106.34,105.19,106.5
2016-03-17,34420705.0,562021389444.0,100.200442042711,99.6686732070028,101.102549889001,100.466326460565,34420705.0,105.8,105.52,104.96,106.47
2016-03-16,38303493.0,562924448387.0,99.3363176846853,99.3173259405528,100.950615935942,100.627756285691,38303493.0,105.97,104.61,104.59,106.31
2016-03-15,40067734.0,555540613498.0,98.7190860003812,98.6146314076528,99.8775823924596,99.3078300684866,40067734.0,104.58,103.96,103.85,105.18
2016-03-14,25076062.0,544597663949.0,96.7724322268069,96.6489858899461,97.7220194334285,97.3516804228461,25076062.0,102.52,101.91,101.78,102.91
2016-03-11,27408237.0,543216514977.0,97.0857960049921,96.3831014720921,97.1237794932569,97.1047877491245,27408237.0,102.26,102.24,101.5,102.28
2016-03-10,33513577.0,537426313516.0,96.2976386234961,95.1011587431529,97.0857960049921,96.069737693907,33513577.0,101.17,101.41,100.15,102.24
2016-03-09,27201683.0,537160707945.0,96.202679902834,95.2151092079475,96.4590684486218,96.0222583335759,27201683.0,101.12,101.31,100.27,101.58
2016-03-08,31561889.0,536682617916.0,95.6993986833245,95.3385555448083,96.6299941458137,95.9367954849799,31561889.0,101.03,100.78,100.4,101.76
2016-03-07,35915810.0,541144791518.0,97.2282340859853,95.8703243805164,97.6460524568988,96.7344487385421,35915810.0,101.87,102.39,100.96,102.83
2016-03-04,46055100.0,547200598550.0,97.2092423418529,96.2596551352313,98.5196726869907,97.8169781540907,46055100.0,103.01,102.37,101.37,103.75
2016-03-03,36955742.0,539179310289.0,95.5094812420002,95.3860349051394,96.582419826762,96.3831014720921,36955742.0,101.5,100.58,100.45,101.7099
2016-03-02,33169560.0,535195226715.0,95.4430101375367,94.6168692677759,95.8038532760529,95.6709110671259,33169560.0,100.75,100.51,99.64,100.89
2016-03-01,50407147.0,534026562200.0,92.7271907265989,92.508785669076,95.6899028112583,95.4620018816691,50407147.0,100.53,97.65,97.42,100.77
2016-02-29,35216277.0,513628054304.0,91.9770168333679,91.7776035199773,93.2779513064395,91.8155870082422,35216277.0,96.69,96.86,96.65,98.23
2016-02-26,28991131.0,514796718819.0,92.2998764836192,91.7111324155138,93.0820514657134,92.024496193699,28991131.0,96.91,97.2,96.58,98.0237
2016-02-25,27582659.0,513999902104.0,91.2078511960044,90.4481814307071,91.8820581127057,91.8820581127057,27582659.0,96.76,96.05,95.25,96.76
2016-02-24,36255745.0,510493908559.0,89.2422056782977,88.6154781219274,91.5212149741895,91.2553305563355,36255745.0,96.1,93.98,93.32,96.38
2016-02-23,31942633.0,503003831441.0,91.5402067183219,89.783470386072,91.6351654389841,89.916412594999,31942633.0,94.69,96.4,94.55,96.5
2016-02-22,34280758.0,514637355476.0,91.454743869726,91.0844048591436,92.0150003216327,91.9960085775003,34280758.0,96.88,96.31,95.92,96.9
2016-02-19,35374173.0,510175181873.0,91.1603718356733,90.970454394349,91.8819631539851,91.1983553239382,35374173.0,96.04,96.0,95.8,96.7599
2016-02-18,39020983.0,511343846388.0,93.8571995024786,91.2467842714759,93.9046788628097,91.4072645093949,39020983.0,96.26,98.84,96.091,98.89
2016-02-17,44863243.0,521224373651.0,91.7965952641098,91.3028099166665,93.258959562307,93.1734967137111,44863243.0,98.12,96.67,96.15,98.21
