Date,AdjustedHighPrice
2013-12-18,71.6490831737215
2013-12-17,72.6872120603985
2013-12-16,73.1028404077816
2013-12-13,73.1341661743119
2013-12-12,73.4537903371687
2013-12-11,74.1852879131376
2013-12-10,73.7838087817444
2013-12-09,74.0046872682714
2013-12-06,73.6369895524646
2013-12-05,74.726544147946
2013-12-04,73.9540151448917
2013-12-03,73.5889159995146
2013-12-02,73.3225495376152
2013-11-29,72.5429914015484
2013-11-27,70.9409727316201
2013-11-26,69.6598775097634
2013-11-25,68.3255115940972
2013-11-22,67.8434767793823
2013-11-21,67.7200446839702
2013-11-20,67.6174011519958
2013-11-19,68.0019895755958
2013-11-18,68.4970172424593
2013-11-15,68.7438814332837
2013-11-14,68.7685678523661
2013-11-13,67.8551703463161
2013-11-12,68.0721509771985
2013-11-11,67.7798118038539
2013-11-08,67.7096504022513
2013-11-07,67.9773031565134
2013-11-06,68.1942837873958
2013-11-05,68.3183727407956
2013-11-04,68.0516277211604
2013-11-01,67.7906955469894
2013-10-31,68.1381745314052
2013-10-30,68.1420497617147
2013-10-29,69.6572648127173
2013-10-28,68.5915764776132
2013-10-25,68.8796352639504
2013-10-24,68.7814627627772
2013-10-23,67.9030772259641
2013-10-22,68.2621302315708
2013-10-21,67.7261083751649
2013-10-18,65.7833262466842
2013-10-17,65.2046251871367
2013-10-16,64.9139829139264
2013-10-15,64.8455205117925
2013-10-14,64.274569912864
2013-10-11,63.7914578676167
2013-10-10,63.6028633258892
2013-10-09,63.0099530885404
2013-10-08,63.37809996794
2013-10-07,63.6377403986744
2013-10-04,62.5978869323001
2013-10-03,63.5989880955797
2013-10-02,63.5279422065728
2013-10-01,63.1843384524665
2013-09-30,62.2181143619721
2013-09-27,62.6069291363555
2013-09-26,63.1094173331501
2013-09-25,63.248925624291
2013-09-24,64.0020120477646
2013-09-23,64.1880231026191
2013-09-20,61.8163821532237
2013-09-19,61.4650279384984
2013-09-18,60.240455160706
2013-09-17,59.3827375188767
2013-09-16,59.6281558543755
2013-09-13,60.9482272244276
2013-09-12,61.4094829707294
2013-09-11,61.1885948430896
2013-09-10,65.5495206846795
2013-09-09,65.6102326261945
2013-09-06,64.5070837314321
2013-09-05,64.6750103781758
2013-09-04,64.8765223542682
2013-09-03,64.6646764306839
2013-08-30,63.6764927017691
2013-08-29,64.1350616217231
2013-08-28,64.0446395811688
2013-08-27,64.9113994270535
2013-08-26,65.9047501297142
2013-08-23,65.0199058757186
2013-08-22,65.3092564054924
2013-08-21,65.5107683815848
2013-08-20,65.9525446368643
2013-08-19,66.3620273062316
2013-08-16,64.9669443948225
2013-08-15,64.8970610749084
2013-08-14,65.1361627850027
2013-08-13,63.8973808294089
2013-08-12,60.5375561510987
2013-08-09,59.4796182766135
2013-08-08,59.9498128874958
2013-08-07,59.928725171728
2013-08-06,60.5562443710637
2013-08-05,60.3996853888163
2013-08-02,59.3961679780178
2013-08-01,58.6197894185125
2013-07-31,58.6894068347987
2013-07-30,58.6647038806327
2013-07-29,57.7458823126893
2013-07-26,56.59735535276
2013-07-25,56.6435530852264
2013-07-24,57.0529163256928
2013-07-23,54.7905107051841
2013-07-22,55.1485431317989
2013-07-19,55.6913664882795
2013-07-18,55.8055775490993
2013-07-17,55.4655109073325
2013-07-16,55.2717370850428
2013-07-15,55.3679823610145
2013-07-12,55.1536762131841
2013-07-11,54.9560525798555
2013-07-10,54.5133243103856
2013-07-09,54.3464991653679
2013-07-08,54.0256815787955
2013-07-05,54.3195504880958
2013-07-04,54.2797691073608
2013-07-03,54.2797691073608
2013-07-02,54.1065276106117
2013-07-01,52.9053865664846
2013-06-28,51.365462150937
2013-06-27,51.5091884297214
2013-06-26,51.9455003474599
2013-06-25,52.3304814513468
2013-06-24,52.442125971474
2013-06-21,53.8973545441665
2013-06-20,54.6647502112477
2013-06-19,55.3936477679403
2013-06-18,55.8094273601381
2013-06-17,55.9120889878413
2013-06-14,55.9878019382724
2013-06-13,56.096879917707
2013-06-12,56.6243040300321
2013-06-11,56.8180650196184
2013-06-10,57.6289763841423
2013-06-07,56.8796748289437
2013-06-06,57.3621844791486
2013-06-05,57.8395610479684
2013-06-04,58.3156543464419
2013-06-03,58.0500173847599
2013-05-31,58.6582875289012
2013-05-30,58.3246372388659
2013-05-29,57.4263479964631
2013-05-28,57.8896085914737
2013-05-24,57.1902262527458
2013-05-23,57.2543897700603
2013-05-22,57.5354131431943
2013-05-21,57.1671273865126
2013-05-20,57.2081920375939
2013-05-17,56.4754446698625
2013-05-16,56.1879921122936
2013-05-15,56.5922222713748
2013-05-14,58.4144661631062
2013-05-13,58.7609491566044
2013-05-10,58.9932210892828
2013-05-09,59.4154170332121
2013-05-08,59.3268636051079
2013-05-07,59.3753072266777
2013-05-06,58.922741814644
2013-05-03,57.7792173791672
2013-05-02,57.187695263157
2013-05-01,56.7211066975109
2013-04-30,56.7619013262013
2013-04-29,55.2788890900919
2013-04-26,53.3860183188591
2013-04-25,52.7704018752785
2013-04-24,52.9374048864797
2013-04-23,52.0617226849981
2013-04-22,51.2737489352008
2013-04-19,50.9422925770916
2013-04-18,51.7314136758208
2013-04-17,53.6194400848967
2013-04-16,54.3856142049876
2013-04-15,54.5487927197491
