date,marketcap
2016-09-27,597484187620.0
2016-09-26,596374702436.0
2016-09-23,592499317134.0
2016-09-22,602539896459.0
2016-09-21,596915069298.0
2016-09-20,597020206254.0
2016-09-19,597072774733.0
2016-09-16,604116950804.0
2016-09-15,607533901883.0
2016-09-14,587557880189.0
2016-09-13,567476721539.0
2016-09-12,554282033525.0
2016-09-09,542138715075.0
2016-09-08,554702581350.0
2016-09-07,569632029143.0
2016-09-06,566162509585.0
2016-09-02,566320215020.0
2016-09-01,561063367206.0
2016-08-31,557751553083.0
2016-08-30,557225868301.0
2016-08-29,561536483509.0
2016-08-26,562167305247.0
2016-08-25,565479119369.0
2016-08-24,567897269364.0
2016-08-23,572207884572.0
2016-08-22,570420556315.0
2016-08-19,574888876957.0
2016-08-18,573416959569.0
2016-08-17,574152918263.0
2016-08-16,574994013913.0
2016-08-15,575519698695.0
2016-08-12,568685796536.0
2016-08-11,567371584583.0
2016-08-10,567739563930.0
2016-08-09,571997610659.0
2016-08-08,569684597621.0
2016-08-05,565006003066.0
2016-08-04,556542478085.0
2016-08-03,553125527006.0
2016-08-02,546276160900.0
2016-08-01,554484943180.0
2016-07-29,544864459489.0
2016-07-28,545544167576.0
2016-07-27,538276519570.0
2016-07-26,505441390450.0
2016-07-25,508944501359.0
2016-07-22,515846152703.0
2016-07-21,519872115987.0
2016-07-20,522643233572.0
2016-07-19,522172666435.0
2016-07-18,521963525485.0
2016-07-15,516473575552.0
2016-07-14,516525860790.0
2016-07-13,506487095199.0
2016-07-12,509362783259.0
2016-07-11,507062232811.0
2016-07-08,505493675687.0
2016-07-07,501624568116.0
2016-07-06,499480873380.0
2016-07-05,496657470558.0
2016-07-01,501363141929.0
2016-06-30,499846870042.0
2016-06-29,493572641548.0
2016-06-28,489337537315.0
2016-06-27,481233325510.0
2016-06-24,494421224879.0
2016-06-23,508713915534.0
2016-06-22,505802441512.0
2016-06-21,507708133599.0
2016-06-20,503420326403.0
2016-06-17,504637851903.0
2016-06-16,516389619775.0
2016-06-15,514219248231.0
2016-06-14,515913196753.0
2016-06-13,515277966057.0
2016-06-10,523165413863.0
2016-06-09,527506156951.0
2016-06-08,523747708668.0
2016-06-07,524224131690.0
2016-06-06,522106696037.0
2016-06-03,518348247754.0
2016-06-02,517289529927.0
2016-06-01,521206785885.0
2016-05-31,528617810669.0
2016-05-27,531211669343.0
2016-05-26,531529284691.0
2016-05-25,527347349277.0
2016-05-24,518242375971.0
2016-05-23,510460799948.0
2016-05-20,504055557099.0
2016-05-19,498656096185.0
2016-05-18,500561788272.0
2016-05-17,494897647901.0
2016-05-16,496962147663.0
2016-05-13,479175688181.0
2016-05-12,478222842137.0
2016-05-11,489709930552.0
2016-05-10,494527096662.0
2016-05-09,491192135509.0
2016-05-06,490821584270.0
2016-05-05,493574250618.0
2016-05-04,495585814488.0
2016-05-03,500794753403.0
2016-05-02,492691959536.0
2016-04-29,493218114982.0
2016-04-28,498953209342.0
2016-04-27,514685257174.0
2016-04-26,549043207791.0
2016-04-25,552884142546.0
2016-04-22,556041075222.0
2016-04-21,557566926015.0
2016-04-20,563670329187.0
2016-04-19,562512787206.0
2016-04-18,565511873248.0
2016-04-15,577981757316.0
2016-04-14,589820254848.0
2016-04-13,589504561581.0
2016-04-12,581086074446.0
2016-04-11,573614667115.0
2016-04-08,571720507509.0
2016-04-07,571089120974.0
2016-04-06,583822082765.0
2016-04-05,577771295137.0
2016-04-04,584663931478.0
2016-04-01,578718374940.0
2016-03-31,573456820481.0
2016-03-30,576455906522.0
2016-03-29,566564184140.0
2016-03-28,553462913537.0
2016-03-24,561330814958.0
2016-03-23,563774386216.0
2016-03-22,566908531961.0
2016-03-21,562605721701.0
2016-03-18,562658842816.0
2016-03-17,562021389444.0
2016-03-16,562924448387.0
2016-03-15,555540613498.0
2016-03-14,544597663949.0
2016-03-11,543216514977.0
2016-03-10,537426313516.0
2016-03-09,537160707945.0
2016-03-08,536682617916.0
2016-03-07,541144791518.0
2016-03-04,547200598550.0
2016-03-03,539179310289.0
2016-03-02,535195226715.0
2016-03-01,534026562200.0
2016-02-29,513628054304.0
2016-02-26,514796718819.0
2016-02-25,513999902104.0
2016-02-24,510493908559.0
2016-02-23,503003831441.0
2016-02-22,514637355476.0
2016-02-19,510175181873.0
2016-02-18,511343846388.0
2016-02-17,521224373651.0
2016-02-16,513362448732.0
2016-02-12,499285353439.0
2016-02-11,497744841124.0
2016-02-10,500772744640.0
2016-02-09,504597464870.0
2016-02-08,504703707099.0
2016-02-05,499444716782.0
2016-02-04,513149964275.0
2016-02-03,509059638473.0
2016-02-02,499179601898.0
2016-02-01,509482313834.0
2016-01-29,514290246071.0
2016-01-28,497119059511.0
2016-01-27,493579153359.0
2016-01-26,528291367420.0
2016-01-25,525385474309.0
2016-01-22,535846689506.0
2016-01-21,508795466372.0
2016-01-20,511384352961.0
2016-01-19,510697505498.0
2016-01-15,513180723247.0
2016-01-14,525808149671.0
2016-01-13,514554418172.0
2016-01-12,528132864159.0
2016-01-11,520577542073.0
2016-01-08,512282538104.0
2016-01-07,509587982674.0
2016-01-06,532042611253.0
2016-01-05,542662329710.0
2016-01-04,556610616638.0
2015-12-31,556135106857.0
2015-12-30,567018997414.0
2015-12-29,574521485081.0
2015-12-28,564377276405.0
2015-12-24,591068345551.0
2015-12-23,594241719988.0
2015-12-22,586691277362.0
2015-12-21,587238410886.0
2015-12-18,580125675079.0
2015-12-17,596266114026.0
2015-12-16,609178465183.0
2015-12-15,604527830232.0
2015-12-14,615415787352.0
2015-12-11,619245722017.0
2015-12-10,635605014373.0
2015-12-09,632595779993.0
2015-12-08,646875964959.0
2015-12-07,647149531721.0
2015-12-04,651253033148.0
2015-12-03,630297819194.0
2015-12-02,636206861249.0
2015-12-01,642006476599.0
2015-11-30,647258958426.0
2015-11-27,644578004160.0
2015-11-25,645781697912.0
2015-11-24,650432332862.0
2015-11-23,644249724046.0
2015-11-20,652730293662.0
2015-11-19,649885199339.0
2015-11-18,641732909837.0
2015-11-17,622036102987.0
2015-11-16,624689700577.0
2015-11-13,614649800419.0
2015-11-12,633142913517.0
2015-11-11,635276734259.0
2015-11-10,638887815514.0
2015-11-09,659678889411.0
2015-11-06,662359843677.0
2015-11-05,661593856744.0
2015-11-04,664657804476.0
2015-11-03,667763172907.0
2015-11-02,660190432348.0
2015-10-30,651037767499.0
2015-10-29,656649222734.0
2015-10-28,649784724097.0
2015-10-27,624070094285.0
2015-10-26,628047145082.0
2015-10-23,648749601287.0
2015-10-22,629245708336.0
2015-10-21,619766162600.0
2015-10-20,619820642748.0
2015-10-19,608706692575.0
2015-10-16,604947562369.0
2015-10-15,609414934498.0
2015-10-14,600425710093.0
2015-10-13,609033573462.0
2015-10-12,607998450652.0
2015-10-09,610831418343.0
2015-10-08,596557619591.0
2015-10-07,603531078524.0
2015-10-06,606418526363.0
2015-10-05,603531078524.0
2015-10-02,601351872607.0
2015-10-01,596993460775.0
2015-09-30,599009226247.0
2015-09-29,594160493083.0
2015-09-28,612574783076.0
2015-09-25,622787463060.0
2015-09-24,624361940999.0
2015-09-23,620670061695.0
2015-09-22,615675166167.0
2015-09-21,625502080195.0
2015-09-18,615946627881.0
2015-09-17,618498367988.0
2015-09-16,632017161319.0
2015-09-15,631311360864.0
2015-09-14,626045003622.0
2015-09-11,620072845926.0
2015-09-10,611168901724.0
2015-09-09,598030154791.0
2015-09-08,609757300814.0
2015-09-04,593252428634.0
2015-09-03,599224586331.0
2015-09-02,609920177842.0
2015-09-01,584837115516.0
2015-08-31,612200456235.0
2015-08-28,615077950398.0
2015-08-27,613069133718.0
2015-08-26,595532707027.0
2015-08-25,563228763123.0
2015-08-24,559862637876.0
2015-08-21,574195816348.0
2015-08-20,611603240465.0
2015-08-19,624416233341.0
2015-08-18,632505792403.0
2015-08-17,636089087021.0
2015-08-14,629574005897.0
2015-08-13,625176326139.0
2015-08-12,625664957223.0
2015-08-11,616163797252.0
2015-08-10,649987926751.0
2015-08-07,627185142819.0
2015-08-06,625067741454.0
2015-08-05,623710432886.0
2015-08-04,619602807852.0
2015-08-03,640140933025.0
2015-07-31,655598574602.0
2015-07-30,661381678269.0
2015-07-29,664732635535.0
2015-07-28,666840495750.0
2015-07-27,663543586182.0
2015-07-24,672893837906.0
2015-07-23,676460985962.0
2015-07-22,676785272149.0
2015-07-21,706673649046.0
2015-07-20,713807945159.0
2015-07-17,700566259192.0
2015-07-16,694566964733.0
2015-07-15,685432903801.0
