DE Ratio,Trailing P/E,Price/Sales,Price/Book,Profit Margin,Operating Margin,Return on Assets,Return on Equity,Revenue Per Share,Market Cap,Enterprise Value,Forward P/E,PEG Ratio,Enterprise Value/Revenue,Enterprise Value/EBITDA,Revenue,Gross Profit,EBITDA,Net Income Avl to Common ,Diluted EPS,Earnings Growth,Revenue Growth,Total Cash,Total Cash Per Share,Total Debt,Current Ratio,Book Value Per Share,Cash Flow,Beta
6.081,28.75,5.83,3.95,20.57,25.51,11.51,15.24,6.522,14570000000,11880000000,25.16,1.33,4.64,18.14,4.64,1120000000,18.14,526500000,1.339,183.3,19.9,2690000000,7.11,6.081,6.081,9.991,648600000,2.739
6.223,23.74,4.94,3.43,21.67,26.55,12.77,15.94,6.704,12960000000,10270000000,20.52,1.36,3.9,14.63,3.9,1550000000,14.63,570740000,1.452,91.3,28.6,2680000000,7.14,6.223,6.223,10.11,778040000,2.443
6.453,25.08,5.22,3.65,21.52,26,12.28,15.29,6.661,13380000000,11020000000,22.04,1.59,4.23,16.2,4.23,1550000000,16.2,561340000,1.43,91.3,28.6,2600000000,6.98,6.453,6.453,10.025,703270000,2.582
6.453,24.91,5.15,3.6,21.52,26,12.28,15.29,6.661,13290000000,10850000000,21.88,1.57,4.16,15.94,4.16,1550000000,15.94,561340000,1.43,91.3,28.6,2600000000,6.98,6.453,6.453,10.025,703270000,2.77
25.32,10.94,3.34,2.8,29.52,36.38,15.06,27.25,10.07,7510000000,7510000000,10.44,1.15,2.5,6.19,2.5,1800000000,6.19,881920000,2.89,44.7,18.3,3430000000,11.45,906930000,7.3,11.96,7510000000,1.04
22.65,15.56,4.06,3.08,26.94,34.36,12.67,21.78,9.74,9030000000,9030000000,14.6,2.04,3.1,8.08,3.1,1990000000,8.08,784670000,2.55,37.2,11,3670000000,12.31,870160000,8.82,12.9,898600000,1.19
17.57,20.28,4.84,3,24.04,30.44,9.26,15.75,8.91,9730000000,9730000000,15.87,5.94,3.64,10.54,3.64,1740000000,10.54,643080000,2.09,5.9,4,3990000000,13.03,759670000,9.47,14.13,757690000,1.07
17.57,22.4,5.3,3.28,24.04,30.44,9.26,15.75,8.91,10960000000,10960000000,17.52,6.51,4.1,11.87,4.1,1740000000,11.87,643080000,2.09,5.9,4,3990000000,13.03,759670000,9.47,14.13,757690000,1.06
0.789,18.64,0.33,1.45,1.76,2.69,3.23,8.19,51.297,10890000000,15790000000,15.01,1.72,0.48,10.07,0.48,1730000000,10.07,582830000,0.902,11.7,30.9,1250000000,1.93,6000000000,1.523,11.738,673600000,0.393
0.848,15.2,0.31,1.34,2.01,3.02,3.71,9.46,53.402,10580000000,15540000000,14.03,1.74,0.45,8.99,0.45,1730000000,8.99,692790000,1.071,11.7,30.9,1690000000,2.59,6690000000,1.512,12.129,305290000,0.383
