Date,OpenPrice
2015-04-16,126.28
2015-04-15,126.41
2015-04-14,127.0
2015-04-13,128.37
2015-04-10,125.95
2015-04-09,125.85
2015-04-08,125.85
2015-04-07,127.64
2015-04-06,124.47
2015-04-02,125.03
2015-04-01,124.82
2015-03-31,126.09
2015-03-30,124.05
2015-03-27,124.57
2015-03-26,122.76
2015-03-25,126.54
2015-03-24,127.23
2015-03-23,127.12
2015-03-20,128.25
2015-03-19,128.75
2015-03-18,127.0
2015-03-17,125.9
2015-03-16,123.88
2015-03-13,124.4
2015-03-12,122.31
2015-03-11,124.75
2015-03-10,126.41
2015-03-09,127.96
2015-03-06,128.4
2015-03-05,128.58
2015-03-04,129.1
2015-03-03,128.96
2015-03-02,129.25
2015-02-27,130.0
2015-02-26,128.785
2015-02-25,131.56
2015-02-24,132.94
2015-02-23,130.02
2015-02-20,128.62
2015-02-19,128.48
2015-02-18,127.625
2015-02-17,127.49
2015-02-13,127.28
2015-02-12,126.06
2015-02-11,122.77
2015-02-10,120.17
2015-02-09,118.55
2015-02-06,120.02
2015-02-05,120.02
2015-02-04,118.5
2015-02-03,118.5
2015-02-02,118.05
2015-01-30,118.4
2015-01-29,116.32
2015-01-28,117.625
2015-01-27,112.42
2015-01-26,113.74
2015-01-23,112.3
2015-01-22,110.26
2015-01-21,108.95
2015-01-20,107.84
2015-01-16,107.03
2015-01-15,110.0
2015-01-14,109.04
2015-01-13,111.43
2015-01-12,112.6
2015-01-09,112.67
2015-01-08,109.23
2015-01-07,107.2
2015-01-06,106.54
2015-01-05,108.29
2015-01-02,111.39
2014-12-31,112.82
2014-12-30,113.64
2014-12-29,113.79
2014-12-26,112.1
2014-12-24,112.58
2014-12-23,113.23
2014-12-22,112.16
2014-12-19,112.26
2014-12-18,111.87
2014-12-17,107.12
2014-12-16,106.37
2014-12-15,110.7
2014-12-12,110.46
2014-12-11,112.26
2014-12-10,114.41
2014-12-09,110.19
2014-12-08,114.1
2014-12-05,115.99
2014-12-04,115.77
2014-12-03,115.75
2014-12-02,113.5
2014-12-01,118.81
2014-11-28,119.27
2014-11-26,117.94
2014-11-25,119.07
2014-11-24,116.85
2014-11-21,117.51
2014-11-20,114.91
2014-11-19,115.44
2014-11-18,113.94
2014-11-17,114.27
2014-11-14,113.15
2014-11-13,111.8
2014-11-12,109.38
2014-11-11,108.7
2014-11-10,109.02
2014-11-07,108.75
2014-11-06,108.6
2014-11-05,109.1
2014-11-04,109.36
2014-11-03,108.22
2014-10-31,108.01
2014-10-30,106.959
2014-10-29,106.65
2014-10-28,105.4
2014-10-27,104.85
2014-10-24,105.18
2014-10-23,104.08
2014-10-22,102.84
2014-10-21,103.02
2014-10-20,98.315
2014-10-17,97.5
2014-10-16,95.55
2014-10-15,97.97
2014-10-14,100.39
2014-10-13,101.33
2014-10-10,100.69
2014-10-09,101.54
2014-10-08,98.76
2014-10-07,99.43
2014-10-06,99.95
2014-10-03,99.44
2014-10-02,99.27
2014-10-01,100.59
2014-09-30,100.81
2014-09-29,98.65
2014-09-26,98.53
2014-09-25,100.51
2014-09-24,102.16
2014-09-23,100.6
2014-09-22,101.8
2014-09-19,102.29
2014-09-18,101.93
2014-09-17,101.27
2014-09-16,99.8
2014-09-15,102.81
2014-09-12,101.21
2014-09-11,100.41
2014-09-10,98.01
2014-09-09,99.08
2014-09-08,99.3
2014-09-05,98.8
2014-09-04,98.85
2014-09-03,103.1
2014-09-02,103.06
2014-09-01,103.06
2014-08-29,102.86
2014-08-28,101.59
2014-08-27,101.02
2014-08-26,101.42
2014-08-25,101.79
2014-08-22,100.29
2014-08-21,100.57
2014-08-20,100.57
2014-08-19,99.41
2014-08-18,98.49
2014-08-15,97.9
2014-08-14,97.33
2014-08-13,96.15
2014-08-12,96.04
2014-08-11,95.27
2014-08-08,94.26
2014-08-07,94.93
2014-08-06,94.75
2014-08-05,95.36
2014-08-04,96.37
2014-08-01,94.9
2014-07-31,97.16
2014-07-30,98.44
2014-07-29,99.33
2014-07-28,97.82
2014-07-25,96.85
2014-07-24,97.035
2014-07-23,95.42
2014-07-22,94.68
2014-07-21,94.99
